
ACCX_Angle -179.96	ACCY_Angle -162.34		GRYX_Angle  5.33	GYRY_Angle  2.43	GYRZ_Angle  2.55		CFangleX_Angle -179.86	CFangleY_Angle -162.02		HEADING  354.44	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.34		GRYX_Angle  5.36	GYRY_Angle  2.46	GYRZ_Angle  2.58		CFangleX_Angle -179.86	CFangleY_Angle -162.06		HEADING  354.44	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.34		GRYX_Angle  5.38	GYRY_Angle  2.49	GYRZ_Angle  2.61		CFangleX_Angle -179.86	CFangleY_Angle -162.10		HEADING  354.44	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.34		GRYX_Angle  5.40	GYRY_Angle  2.51	GYRZ_Angle  2.63		CFangleX_Angle -179.86	CFangleY_Angle -162.13		HEADING  354.44	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.34		GRYX_Angle  5.43	GYRY_Angle  2.53	GYRZ_Angle  2.65		CFangleX_Angle -179.86	CFangleY_Angle -162.15		HEADING  354.44	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.34		GRYX_Angle  5.46	GYRY_Angle  2.56	GYRZ_Angle  2.68		CFangleX_Angle -179.86	CFangleY_Angle -162.17		HEADING  353.46	tiltCompensatedHeading 267.66
ACCX_Angle -179.96	ACCY_Angle -162.85		GRYX_Angle  5.48	GYRY_Angle  2.58	GYRZ_Angle  2.71		CFangleX_Angle -179.86	CFangleY_Angle -162.28		HEADING  353.28	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.85		GRYX_Angle  5.51	GYRY_Angle  2.61	GYRZ_Angle  2.73		CFangleX_Angle -179.86	CFangleY_Angle -162.37		HEADING  353.28	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.85		GRYX_Angle  5.53	GYRY_Angle  2.63	GYRZ_Angle  2.76		CFangleX_Angle -179.86	CFangleY_Angle -162.45		HEADING  353.28	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.85		GRYX_Angle  5.56	GYRY_Angle  2.66	GYRZ_Angle  2.78		CFangleX_Angle -179.86	CFangleY_Angle -162.51		HEADING  353.28	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.85		GRYX_Angle  5.59	GYRY_Angle  2.69	GYRZ_Angle  2.82		CFangleX_Angle -179.86	CFangleY_Angle -162.55		HEADING  353.28	tiltCompensatedHeading 270.00
